16/Oct/2018 09:58:17,2346.3
16/Oct/2018 11:25:02,2346.3,2502.8
16/Oct/2018 11:27:44,2346.3,2502.8
16/Oct/2018 11:57:54,2346.3,2502.8
16/Oct/2018 12:27:56,2346.3,2502.7
16/Oct/2018 12:57:58,2344.1,2498.7
16/Oct/2018 13:28:00,2343.9,2497.2
16/Oct/2018 13:58:03,2343.7,2495.5
16/Oct/2018 14:28:05,2343.6,2493.7
16/Oct/2018 14:58:07,2343.3,2492.2
16/Oct/2018 15:28:09,2343.2,2490.2
16/Oct/2018 15:58:11,2343.0,2488.9
16/Oct/2018 16:28:14,2342.8,2487.6
16/Oct/2018 16:58:16,2342.6,2486.2
16/Oct/2018 17:28:18,2342.4,2484.9
16/Oct/2018 17:58:20,2342.2,2483.5
16/Oct/2018 18:28:23,2342.1,2482.5
16/Oct/2018 18:58:25,2342.0,2481.2
16/Oct/2018 19:28:27,2341.9,2480.2
16/Oct/2018 19:58:29,2341.7,2479.2
16/Oct/2018 20:28:31,2341.6,2477.9
16/Oct/2018 20:58:34,2341.4,2476.9
16/Oct/2018 21:28:36,2341.3,2476.0
16/Oct/2018 21:58:38,2341.2,2474.9
16/Oct/2018 22:13:52,2341.0,2473.3
16/Oct/2018 22:43:54,2341.0,2473.3
16/Oct/2018 23:13:56,2340.9,2472.3
16/Oct/2018 23:43:59,2340.8,2471.2
17/Oct/2018 00:14:01,2340.7,2470.1
17/Oct/2018 00:44:03,2340.6,2469.2
17/Oct/2018 01:14:05,2340.5,2468.1
17/Oct/2018 01:44:07,2340.4,2467.0
17/Oct/2018 02:14:10,2340.3,2466.3
17/Oct/2018 02:44:12,2340.2,2465.2
17/Oct/2018 03:14:14,2340.1,2464.3
17/Oct/2018 03:44:16,2340.0,2463.4
17/Oct/2018 04:14:19,2339.9,2462.5
17/Oct/2018 04:44:21,2339.8,2461.6
17/Oct/2018 05:14:23,2339.7,2460.6
17/Oct/2018 05:44:25,2339.6,2459.9
17/Oct/2018 06:14:27,2339.5,2458.7
17/Oct/2018 06:44:30,2339.4,2458.1
17/Oct/2018 07:14:32,2339.3,2457.2
17/Oct/2018 07:44:34,2339.2,2456.2
17/Oct/2018 08:14:36,2339.1,2455.3
17/Oct/2018 08:44:38,2338.9,2454.5
17/Oct/2018 09:14:41,2338.8,2453.5
17/Oct/2018 09:44:43,2338.7,2452.4
17/Oct/2018 10:14:45,2338.6,2451.6
17/Oct/2018 10:44:47,2338.4,2450.7
17/Oct/2018 11:14:49,2338.2,2449.7
17/Oct/2018 11:44:52,2338.1,2448.4
17/Oct/2018 12:14:54,2337.9,2447.7
17/Oct/2018 12:44:56,2337.8,2446.6
17/Oct/2018 13:14:58,2337.6,2445.7
17/Oct/2018 13:45:00,2337.5,2445.1
17/Oct/2018 14:15:03,2337.4,2444.5
17/Oct/2018 14:45:05,2337.2,2443.0
17/Oct/2018 15:15:07,2337.0,2442.2
17/Oct/2018 15:45:09,2336.9,2441.6
17/Oct/2018 16:15:12,2336.7,2440.7
17/Oct/2018 16:45:14,2336.5,2439.9
17/Oct/2018 17:15:16,2336.3,2438.8
17/Oct/2018 17:45:18,2336.1,2438.1
17/Oct/2018 18:15:20,2335.9,2436.8
17/Oct/2018 18:45:23,2335.8,2435.9
17/Oct/2018 19:15:25,2335.7,2435.1
17/Oct/2018 19:45:27,2335.5,2434.1
17/Oct/2018 20:15:29,2335.4,2433.4
17/Oct/2018 20:45:32,2335.2,2432.6
17/Oct/2018 21:15:34,2335.1,2431.6
17/Oct/2018 21:45:36,2335.0,2430.8
17/Oct/2018 22:13:52,2334.8,2429.2
17/Oct/2018 22:43:54,2334.8,2429.2
17/Oct/2018 23:13:57,2334.6,2428.2
17/Oct/2018 23:43:59,2334.5,2427.4
18/Oct/2018 00:14:01,2334.4,2426.4
18/Oct/2018 00:44:03,2334.2,2426.0
18/Oct/2018 01:14:05,2334.1,2425.2
18/Oct/2018 01:44:08,2334.0,2424.2
18/Oct/2018 02:14:10,2333.9,2423.5
18/Oct/2018 02:44:12,2333.8,2422.8
18/Oct/2018 03:14:14,2333.7,2422.0
18/Oct/2018 03:44:17,2333.5,2421.0
18/Oct/2018 04:14:19,2333.4,2420.4
18/Oct/2018 04:44:21,2333.3,2419.8
18/Oct/2018 05:14:23,2333.2,2419.0
18/Oct/2018 05:44:26,2333.0,2418.1
18/Oct/2018 06:14:28,2332.9,2417.4
18/Oct/2018 06:44:30,2332.8,2416.5
18/Oct/2018 07:14:32,2332.7,2415.9
18/Oct/2018 07:44:34,2332.5,2415.2
18/Oct/2018 08:14:37,2332.4,2414.5
18/Oct/2018 08:44:39,2332.3,2413.8
18/Oct/2018 09:14:41,2332.2,2412.7
18/Oct/2018 09:44:43,2332.1,2412.4
18/Oct/2018 10:14:46,2332.0,2411.6
18/Oct/2018 10:44:48,2331.9,2410.8
18/Oct/2018 11:14:50,2331.7,2410.2
18/Oct/2018 11:44:52,2331.6,2409.4
18/Oct/2018 12:14:54,2331.4,2408.8
18/Oct/2018 12:44:57,2331.3,2407.8
18/Oct/2018 13:14:59,2331.1,2406.9
18/Oct/2018 13:45:01,2331.0,2406.1
18/Oct/2018 14:15:03,2330.8,2405.3
18/Oct/2018 14:45:05,2330.6,2404.6
